name,brand,category,price,claim_type,kcal,sugar_g,carb_g,sweeteners(쉼표구분),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL)
기름제로 케어원 콜라겐 팝콘,케어원,주식/면류,,무당류,110,0,27,"스테비아,효소처리스테비아,자일리톨",,50,https://zerofinder.co.kr/public/products/original/0M6B0AK7ANM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6B0BMCW1M00.png,https://zerofinder.co.kr/product/0PCNV3FZAS8KB
제로당 소스퐁닭 스리라차마요,아임닭,육가공품,,무당류,115,0,3,"D-소비톨액,알룰로스,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M6AZQJ2RHM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6AZ75X41M00.png,https://zerofinder.co.kr/product/0PCNV3FZANNPA
그릭슈바인 제로닭 블랙페퍼,삼립,육가공품,,무당류,175,0,0.5,효소처리스테비아,,50,https://zerofinder.co.kr/public/products/original/0M6AY7JVV9M00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6AXVZ7G5M00.png,https://zerofinder.co.kr/product/0PCNV3FZAJJ1Q
캐치!티니핑 제로 애플망고맛,웅진식품,음료,,무당류,0,0,2.5,"에리스리톨,수크랄로스,스테비올 배당체,아라비아검",,50,https://zerofinder.co.kr/public/products/original/0M6AREREKDM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6ARG6HW5M00.png,https://zerofinder.co.kr/product/0PCNV3FZAJ42F
제로 단호박 단백질 설기떡,별미힘떡,간식/디저트,,저당류,188,1,32,"에리스리톨,스테비아",,50,https://zerofinder.co.kr/public/products/original/0M6AQG8661M00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6AQNJ76NM00.png,https://zerofinder.co.kr/product/0PCNV3FZAHW5T
샤인머스켓 제로슈가,젤리블리,간식/디저트,,무당류,0,0,9,"에리스리톨,효소처리스테비아,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0M6AP3MFVXM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6AP4MTEDM00.png,https://zerofinder.co.kr/product/0PCNV3FZAH8NY
제로슈거 하이진저 레몬생강청,안동농협생강한약재유통센터,음료,,무당류,25,0,196,"말토덱스트린,수크랄로스,아세설팜칼륨",,50,https://zerofinder.co.kr/public/products/original/0M6783A06NM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M678AGZMDM00.png,https://zerofinder.co.kr/product/0PCNV3FZA826A
팅글닥터구미젤리 제로슈가,에스디푸드,간식/디저트,,무당류,110,0,32,"말티톨,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M676WBXQHM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M676V0BKXM00.png,https://zerofinder.co.kr/product/0PCNV3FZA6GPA
아사삭 당제로 콜라향아이스,스위트코리아,간식/디저트,,무당류,7,0,9.5,"에리스리톨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0M675YXF7SM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M675ZMPSSM00.png,https://zerofinder.co.kr/product/0PCNV3FZA6BPY
제로슈가 아쌈블렌드 밀크티 베이스,티하우스청담,음료,,무당류,0,0,12,"알룰로스,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M66T83TADM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M66TCX9JDM00.png,https://zerofinder.co.kr/product/0PCNV3FZA2X1Q
