name,brand,category,price,price_source(real/danawa/estimated),claim_type,kcal,sugar_g,carb_g,protein_g,fat_g,sodium_mg,serving_size,serving_unit,sweeteners(쉼표구분),sweetener_amounts(이름:g),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL)
저당 생요거트 플레인 아이스밀크,라라스윗,간식/디저트,6710,real,저당류,90,3,15,2,4.9,20,100,mL,"에리스리톨,아세설팜칼륨,수크랄로스,말토덱스트린","에리스리톨:3,아세설팜칼륨:0,수크랄로스:0,말토덱스트린:0",,24,https://s3.zerofinder.co.kr/public/products/original/0M74T0PMWA400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74T30KJE400.png,https://zerofinder.co.kr/product/0M74TBYTR2400
저당 블루베리 생요거트바,라라스윗,간식/디저트,7900,real,,75,4,17,1,2.8,25,70,mL,"에리스리톨,아세설팜칼륨,수크랄로스","에리스리톨:3,아세설팜칼륨:0,수크랄로스:0",,20,https://s3.zerofinder.co.kr/public/products/original/0M74SFTY46400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74SK82FA400.png,https://zerofinder.co.kr/product/0M74SVA7WT400
생우유 모나카 아이스크림,라라스윗,간식/디저트,6580,real,저당류,120,4,22,4,6,50,140,mL,"알룰로스,에리스리톨,효소처리스테비아","알룰로스:3,에리스리톨:3,효소처리스테비아:0",,8,https://s3.zerofinder.co.kr/public/products/original/0M74S2CCSA400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74S33236400.png,https://zerofinder.co.kr/product/0M74SBBZGJ400
초콜릿 모나카 아이스밀크,라라스윗,간식/디저트,7520,real,저당류,100,3,19,3,5,85,140,mL,"에리스리톨,알룰로스,효소처리스테비아","에리스리톨:3,알룰로스:3,효소처리스테비아:0",,20,https://s3.zerofinder.co.kr/public/products/original/0M74R0D1HT400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74R24PE6400.png,https://zerofinder.co.kr/product/0M74R92VN2400
말차 아이스밀크,라라스윗,간식/디저트,9440,real,,70,6,15,3,2.6,50,100,mL,"알룰로스,에리스리톨,효소처리스테비아","알룰로스:3,에리스리톨:1,효소처리스테비아:0",,41,https://s3.zerofinder.co.kr/public/products/original/0M74QD4PTP400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74QEH05A400.png,https://zerofinder.co.kr/product/0M74QR4DJY400
바닐라빈 아이스밀크,라라스윗,간식/디저트,6320,real,저당류,75,5,13,2,3.8,40,100,mL,"알룰로스,수크랄로스,아세설팜칼륨","알룰로스:2,수크랄로스:0,아세설팜칼륨:0",,10,https://s3.zerofinder.co.kr/public/products/original/0M74PN7NX6400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74PNZV32400.png,https://zerofinder.co.kr/product/0M74Q5GXEY400
생우유 아이스밀크,라라스윗,간식/디저트,6320,real,,70,6,13,3,3,80,100,mL,"에리스리톨,알룰로스,효소처리스테비아","에리스리톨:1,알룰로스:2,효소처리스테비아:0",,10,https://s3.zerofinder.co.kr/public/products/original/0M74P2YZZY400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74P5RVQE400.png,https://zerofinder.co.kr/product/0M74PC93CP400
저당 쫀득옥수수 듬뿍바,라라스윗,간식/디저트,9400,real,저당류,85,3,19,1,4.3,45,70,mL,"에리스리톨,알룰로스,수크랄로스","에리스리톨:1,알룰로스:3,수크랄로스:0",,51,https://s3.zerofinder.co.kr/public/products/original/0M74N10NGY400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74N28EJ2400.png,https://zerofinder.co.kr/product/0M74NP3D36400
초콜릿 아이스밀크,라라스윗,간식/디저트,17300,estimated,저당류,70,4,14.5,2,3.1,60,100,mL,"효소처리스테비아,알룰로스","효소처리스테비아:0,알룰로스:4",,9,https://s3.zerofinder.co.kr/public/products/original/0M6FYDVHKNM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6FYEREJXM00.png,https://zerofinder.co.kr/product/0M6FYSQPKXM00
저당 멜론바,라라스윗,간식/디저트,24100,estimated,저당류,100,3,16,1,6,55,70,mL,"알룰로스,아세설팜칼륨,수크랄로스","알룰로스:2,아세설팜칼륨:0,수크랄로스:0",,39,https://s3.zerofinder.co.kr/public/products/original/0M6FXJ98XDM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6FXK4YHHM00.png,https://zerofinder.co.kr/product/0M6FXZEF61M00
